FIPS,county_name,state,hs_grad_rate
1001,autauga-county-al,al,0.9
1003,baldwin-county-al,al,0.86
1005,barbour-county-al,al,0.81
1007,bibb-county-al,al,0.84
1009,blount-county-al,al,0.93
1011,bullock-county-al,al,0.7
1013,butler-county-al,al,0.82
1015,calhoun-county-al,al,0.92
1017,chambers-county-al,al,0.86
1019,cherokee-county-al,al,0.95
1021,chilton-county-al,al,0.88
1023,choctaw-county-al,al,0.79
1025,clarke-county-al,al,0.91
1027,clay-county-al,al,0.9
1029,cleburne-county-al,al,0.98
1031,coffee-county-al,al,0.93
1033,colbert-county-al,al,0.92
1035,conecuh-county-al,al,0.8
1037,coosa-county-al,al,0.83
1039,covington-county-al,al,0.95
1041,crenshaw-county-al,al,0.89
1043,cullman-county-al,al,0.91
1045,dale-county-al,al,0.9
1047,dallas-county-al,al,0.86
1049,dekalb-county-al,al,0.93
1051,elmore-county-al,al,0.86
1053,escambia-county-al,al,0.88
1055,etowah-county-al,al,0.9
1057,fayette-county-al,al,0.92
1059,franklin-county-al,al,0.92
1061,geneva-county-al,al,0.9
1063,greene-county-al,al,0.78
1065,hale-county-al,al,0.91
1067,henry-county-al,al,0.98
1069,houston-county-al,al,0.91
1071,jackson-county-al,al,0.9
1073,jefferson-county-al,al,0.89
1075,lamar-county-al,al,0.94
1077,lauderdale-county-al,al,0.94
1079,lawrence-county-al,al,0.88
1081,lee-county-al,al,0.91
1083,limestone-county-al,al,0.92
1085,lowndes-county-al,al,0.91
1087,macon-county-al,al,0.8
1089,madison-county-al,al,0.93
1091,marengo-county-al,al,0.91
1093,marion-county-al,al,0.9
1095,marshall-county-al,al,0.92
1097,mobile-county-al,al,0.84
1099,monroe-county-al,al,0.88
1101,montgomery-county-al,al,0.82
1103,morgan-county-al,al,0.9
1105,perry-county-al,al,0.93
1107,pickens-county-al,al,0.98
1109,pike-county-al,al,0.87
1111,randolph-county-al,al,0.92
1113,russell-county-al,al,0.88
1115,st.-clair-county-al,al,0.94
1117,shelby-county-al,al,0.88
1119,sumter-county-al,al,0.77
1121,talladega-county-al,al,0.93
1123,tallapoosa-county-al,al,0.9
1125,tuscaloosa-county-al,al,0.89
1127,walker-county-al,al,0.9
1129,washington-county-al,al,0.93
1131,wilcox-county-al,al,0.83
1133,winston-county-al,al,0.93
2013,aleutians-east-borough-ak,ak,0.89
2016,aleutians-west-census-area-ak,ak,0.91
2020,anchorage-municipality-ak,ak,0.81
2050,bethel-census-area-ak,ak,0.62
2060,bristol-bay-borough-ak,ak,0.85
2068,denali-borough-ak,ak,0.65
2070,dillingham-census-area-ak,ak,0.67
2090,fairbanks-north-star-borough-ak,ak,0.74
2100,haines-borough-ak,ak,0.78
2105,hoonah-angoon-census-area-ak,ak,0.91
2110,juneau-city-and-borough-ak,ak,0.83
2122,kenai-peninsula-borough-ak,ak,0.85
2130,ketchikan-gateway-borough-ak,ak,0.84
2150,kodiak-island-borough-ak,ak,0.86
2158,kusilvak-county-ak,ak,0.62
2164,lake-and-peninsula-borough-ak,ak,0.6
2170,matanuska-susitna-borough-ak,ak,0.83
2180,nome-census-area-ak,ak,0.75
2185,north-slope-borough-ak,ak,0.68
2188,northwest-arctic-borough-ak,ak,0.76
2195,petersburg-census-area-ak,ak,0.9
2198,prince-of-wales-hyder-census-area-ak,ak,0.77
2220,sitka-city-and-borough-ak,ak,0.87
2230,skagway-municipality-ak,ak,0.5
2240,southeast-fairbanks-census-area-ak,ak,0.77
2261,valdez-cordova-census-area-ak,ak,0.67
2275,wrangell-city-and-borough-ak,ak,0.9
2282,yakutat-city-and-borough-ak,ak,0.7
2290,yukon-koyukuk-census-area-ak,ak,0.67
4001,apache-county-az,az,0.73
4003,cochise-county-az,az,0.88
4005,coconino-county-az,az,0.82
4007,gila-county-az,az,0.75
4009,graham-county-az,az,0.86
4011,greenlee-county-az,az,0.9
4012,la-paz-county-az,az,0.84
4013,maricopa-county-az,az,0.78
4015,mohave-county-az,az,0.78
4017,navajo-county-az,az,0.78
4019,pima-county-az,az,0.73
4021,pinal-county-az,az,0.81
4023,santa-cruz-county-az,az,0.9
4025,yavapai-county-az,az,0.82
4027,yuma-county-az,az,0.89
5001,arkansas-county-ar,ar,0.82
5003,ashley-county-ar,ar,0.9
5005,baxter-county-ar,ar,0.86
5007,benton-county-ar,ar,0.9
5009,boone-county-ar,ar,0.93
5011,bradley-county-ar,ar,0.9
5013,calhoun-county-ar,ar,0.92
5015,carroll-county-ar,ar,0.82
5017,chicot-county-ar,ar,0.87
5019,clark-county-ar,ar,0.84
5021,clay-county-ar,ar,0.93
5023,cleburne-county-ar,ar,0.92
5025,cleveland-county-ar,ar,0.96
5027,columbia-county-ar,ar,0.91
5029,conway-county-ar,ar,0.86
5031,craighead-county-ar,ar,0.93
5033,crawford-county-ar,ar,0.9
5035,crittenden-county-ar,ar,0.89
5037,cross-county-ar,ar,0.92
5039,dallas-county-ar,ar,0.87
5041,desha-county-ar,ar,0.87
5043,drew-county-ar,ar,0.88
