county_code,unemployment_rate_2018
0,3.9
1000,3.9
1001,3.6
1003,3.6
1005,5.1
1007,3.9
1009,3.5
1011,4.6
1013,4.7
1015,4.6
1017,3.8
1019,3.5
1021,3.6
1023,5.4
1025,7.4
1027,3.8
1029,4.2
1031,3.9
1033,4.5
1035,5.1
1037,4.1
1039,4.5
1041,4.0
1043,3.2
1045,4.1
1047,6.4
1049,3.8
1051,3.4
1053,4.5
1055,4.0
1057,4.0
1059,3.7
1061,3.9
1063,6.6
1065,5.0
1067,4.4
1069,4.0
1071,4.0
1073,3.7
1075,3.7
1077,4.1
1079,4.1
1081,3.6
1083,3.5
1085,7.2
1087,5.3
1089,3.4
1091,4.9
1093,4.0
1095,3.3
1097,4.6
1099,6.0
1101,3.9
1103,3.4
1105,6.4
1107,4.5
1109,4.5
1111,4.0
1113,4.0
1115,3.4
1117,2.8
1119,5.7
1121,4.2
1123,4.1
1125,3.6
1127,4.2
1129,5.7
1131,9.4
1133,4.1
2000,6.5
2013,3.1
2016,3.5
2020,5.4
2050,12.7
2060,6.1
2068,7.8
2070,8.0
2090,5.7
2100,9.6
2105,12.4
2110,4.3
2122,7.5
2130,6.0
2150,5.8
2158,19.6
2164,10.9
2170,7.4
2180,11.3
2185,6.8
2188,13.6
2195,8.6
2198,10.6
2201,
2220,4.1
2230,9.4
2232,
2240,9.5
2261,7.2
2275,6.9
2280,
2282,8.1
2290,14.6
4000,4.7
4001,9.8
4003,5.5
4005,5.4
4007,5.7
4009,5.0
4011,4.1
4012,6.1
4013,4.1
4015,5.6
4017,7.6
4019,4.4
4021,4.9
4023,9.1
4025,4.4
4027,16.7
5000,3.6
5001,3.3
5003,5.2
5005,4.1
5007,2.9
5009,3.5
5011,4.3
5013,3.8
5015,3.2
5017,6.7
5019,3.6
5021,4.3
5023,4.5
5025,3.8
5027,4.7
5029,4.3
5031,3.0
5033,3.5
5035,4.3
5037,4.1
5039,4.2
5041,4.4
5043,4.8
5045,3.2
5047,3.5
5049,4.0
5051,4.0
5053,3.1
5055,3.4
5057,3.5
5059,3.7
5061,3.4
5063,4.0
5065,5.4
5067,6.0
5069,5.2
5071,4.5
5073,5.1
5075,3.9
5077,4.8
5079,4.2
5081,5.2
5083,4.0
5085,3.1
5087,2.9
5089,4.1
5091,4.8
5093,5.6
5095,4.2
5097,4.7
5099,3.4
5101,3.3
5103,4.5
5105,4.1
5107,6.0
5109,4.0
5111,3.8
5113,4.1
5115,4.4
5117,3.8
5119,3.4
5121,3.9
5123,5.0
5125,3.0
5127,3.6
5129,4.3
5131,3.5
5133,4.5
5135,4.7
5137,4.5
5139,5.4
5141,5.2
5143,2.6
5145,4.3
5147,4.7
5149,4.1
6000,4.3
6001,3.1
6003,4.6
6005,4.1
6007,5.1
6009,4.1
6011,13.3
6013,3.2
6015,5.7
6017,3.7
6019,7.6
6021,6.6
6023,3.6
6025,18.9
6027,3.9
6029,8.1
6031,7.9
6033,5.3
6035,4.8
6037,4.6
6039,7.1
6041,2.4
6043,5.4
6045,4.0
6047,8.4
6049,7.6
6051,4.1
6053,6.4
6055,3.0
6057,3.5
6059,3.0
6061,3.2
6063,7.6
6065,4.5
6067,3.9
6069,5.1
6071,4.1
6073,3.4
6075,2.4
6077,6.1
6079,3.0
6081,2.3
6083,4.0
6085,2.7
6087,5.0
6089,5.0
6091,6.1
6093,6.8
6095,4.0
6097,2.8
6099,6.5
6101,7.7
6103,5.8
6105,5.8
6107,9.8
6109,4.7
6111,3.8
6113,4.3
6115,6.5
8000,3.2
8001,3.3
8003,3.9
8005,3.1
8007,3.3
8009,1.8
8011,3.1
8013,2.7
8014,2.8
8015,2.6
8017,1.8
8019,2.9
8021,4.1
8023,4.3
8025,4.2
8027,3.6
8029,3.9
8031,3.1
8033,2.8
8035,2.7
8037,2.6
8039,2.7
8041,3.8
8043,5.0
8045,3.1
8047,2.4
8049,2.6
8051,2.4
8053,2.7
8055,6.4
8057,2.6
8059,2.9
8061,1.8
8063,2.0
8065,2.6
8067,2.9
8069,2.7
8071,4.5
8073,2.4
8075,2.7
8077,3.9
8079,2.5
8081,3.6
8083,4.6
8085,3.6
8087,2.8
8089,4.9
8091,3.4
8093,2.7
8095,1.9
8097,3.7
8099,3.2
8101,4.7
8103,4.1
8105,4.8
8107,2.6
8109,4.6
8111,2.9
8113,3.3
8115,2.5
8117,2.1
8119,3.6
8121,2.4
8123,2.9
8125,1.9
9000,4.1
9001,4.0
9003,4.3
9005,3.9
9007,3.5
9009,4.4
9011,4.0
9013,3.6
9015,4.6
10000,3.8
10001,4.2
10003,3.7
10005,3.8
11000,5.7
11001,5.7
12000,3.6
12001,3.3
12003,3.5
12005,4.1
12007,3.4
12009,3.6
12011,3.4
12013,4.3
12015,4.1
12017,5.3
12019,3.4
12021,3.5
12023,3.8
12027,4.0
12029,4.3
12031,3.7
12033,3.6
12035,4.2
12037,3.5
12039,4.6
12041,3.8
12043,4.0
12045,4.5
12047,4.2
12049,5.3
12051,6.2
12053,4.6
12055,4.9
12057,3.5
12059,4.0
12061,4.4
12063,4.1
12065,3.8
12067,3.4
12069,3.6
12071,3.5
12073,3.4
12075,3.9
12077,4.0
12079,4.0
12081,3.5
12083,4.4
12085,3.6
12086,3.5
12087,2.6
12089,3.3
12091,3.0
12093,3.8
12095,3.3
12097,3.7
12099,3.6
12101,3.9
12103,3.4
12105,4.2
12107,4.9
12109,2.9
12111,4.5
12113,3.4
12115,3.5
12117,3.3
12119,5.2
12121,3.8
12123,3.9
12125,3.3
12127,3.8
12129,3.2
12131,3.2
12133,3.9
13000,3.9
13001,4.3
13003,3.5
13005,3.8
13007,5.3
13009,4.9
13011,3.1
13013,3.3
13015,3.8
13017,5.9
13019,4.2
13021,4.5
13023,5.8
13025,4.5
13027,3.9
13029,3.4
13031,4.3
13033,6.1
13035,4.1
13037,4.2
13039,4.2
13043,3.4
13045,4.0
13047,3.4
13049,4.3
13051,3.7
13053,5.5
13055,4.1
13057,3.1
13059,4.0
13061,7.5
13063,4.9
13065,4.5
13067,3.4
13069,4.5
