,FIPS,Unemployment_rate_2018
0,0,3.9
1,1000,3.9
2,1001,3.6
3,1003,3.6
4,1005,5.1
5,1007,3.9
6,1009,3.5
7,1011,4.6
8,1013,4.7
9,1015,4.6
10,1017,3.8
11,1019,3.5
12,1021,3.6
13,1023,5.4
14,1025,7.4
15,1027,3.8
16,1029,4.2
17,1031,3.9
18,1033,4.5
19,1035,5.1
20,1037,4.1
21,1039,4.5
22,1041,4.0
23,1043,3.2
24,1045,4.1
25,1047,6.4
26,1049,3.8
27,1051,3.4
28,1053,4.5
29,1055,4.0
30,1057,4.0
31,1059,3.7
32,1061,3.9
33,1063,6.6
34,1065,5.0
35,1067,4.4
36,1069,4.0
37,1071,4.0
38,1073,3.7
39,1075,3.7
40,1077,4.1
41,1079,4.1
42,1081,3.6
43,1083,3.5
44,1085,7.2
45,1087,5.3
46,1089,3.4
47,1091,4.9
48,1093,4.0
49,1095,3.3
50,1097,4.6
51,1099,6.0
52,1101,3.9
53,1103,3.4
54,1105,6.4
55,1107,4.5
56,1109,4.5
57,1111,4.0
58,1113,4.0
59,1115,3.4
60,1117,2.8
61,1119,5.7
62,1121,4.2
63,1123,4.1
64,1125,3.6
65,1127,4.2
66,1129,5.7
67,1131,9.4
68,1133,4.1
69,2000,6.5
70,2013,3.1
71,2016,3.5
72,2020,5.4
73,2050,12.7
74,2060,6.1
75,2068,7.8
76,2070,8.0
77,2090,5.7
78,2100,9.6
79,2105,12.4
80,2110,4.3
81,2122,7.5
82,2130,6.0
83,2150,5.8
84,2158,19.6
85,2164,10.9
86,2170,7.4
87,2180,11.3
88,2185,6.8
89,2188,13.6
90,2195,8.6
91,2198,10.6
92,2201,
93,2220,4.1
94,2230,9.4
95,2232,
96,2240,9.5
97,2261,7.2
98,2275,6.9
99,2280,
100,2282,8.1
101,2290,14.6
102,4000,4.7
103,4001,9.8
104,4003,5.5
105,4005,5.4
106,4007,5.7
107,4009,5.0
108,4011,4.1
109,4012,6.1
110,4013,4.1
111,4015,5.6
112,4017,7.6
113,4019,4.4
114,4021,4.9
115,4023,9.1
116,4025,4.4
117,4027,16.7
118,5000,3.6
119,5001,3.3
120,5003,5.2
121,5005,4.1
122,5007,2.9
123,5009,3.5
124,5011,4.3
125,5013,3.8
126,5015,3.2
127,5017,6.7
128,5019,3.6
129,5021,4.3
130,5023,4.5
131,5025,3.8
132,5027,4.7
133,5029,4.3
134,5031,3.0
135,5033,3.5
136,5035,4.3
137,5037,4.1
138,5039,4.2
139,5041,4.4
140,5043,4.8
141,5045,3.2
142,5047,3.5
143,5049,4.0
144,5051,4.0
145,5053,3.1
146,5055,3.4
147,5057,3.5
148,5059,3.7
149,5061,3.4
150,5063,4.0
151,5065,5.4
152,5067,6.0
153,5069,5.2
154,5071,4.5
155,5073,5.1
156,5075,3.9
157,5077,4.8
158,5079,4.2
159,5081,5.2
160,5083,4.0
161,5085,3.1
162,5087,2.9
163,5089,4.1
164,5091,4.8
165,5093,5.6
166,5095,4.2
167,5097,4.7
168,5099,3.4
169,5101,3.3
170,5103,4.5
171,5105,4.1
172,5107,6.0
173,5109,4.0
174,5111,3.8
175,5113,4.1
176,5115,4.4
177,5117,3.8
178,5119,3.4
179,5121,3.9
180,5123,5.0
181,5125,3.0
182,5127,3.6
183,5129,4.3
184,5131,3.5
185,5133,4.5
186,5135,4.7
187,5137,4.5
188,5139,5.4
189,5141,5.2
190,5143,2.6
191,5145,4.3
192,5147,4.7
193,5149,4.1
194,6000,4.3
195,6001,3.1
196,6003,4.6
197,6005,4.1
198,6007,5.1
199,6009,4.1
200,6011,13.3
201,6013,3.2
202,6015,5.7
203,6017,3.7
204,6019,7.6
205,6021,6.6
206,6023,3.6
207,6025,18.9
208,6027,3.9
209,6029,8.1
210,6031,7.9
211,6033,5.3
212,6035,4.8
213,6037,4.6
214,6039,7.1
215,6041,2.4
216,6043,5.4
217,6045,4.0
218,6047,8.4
219,6049,7.6
220,6051,4.1
221,6053,6.4
